Spotify_ID,Artist,Title,Year,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Clustering Coefficient,Community
2QqsTNalS0wnXDEu0ikLEP,Palmaria,Verità,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,1020
0cVyQfDyRnMJ0V3rjjdlU3,Paul Russell,Lil Boo Thang,2013,0.0,0.0,0.0,0.0,1588
7omJfT9s6V2IpQNBYyq5C8,Beyoncé,MY HOUSE,2013,0.0037339556592765463,0.0,0.0037339556592765463,1.0,1187
5hlPrSCx9BvnQ3rCTkblMZ,Stephen Sanchez,High,2013,0.0007001166861143524,0.0,0.0007001166861143524,1.0,1068
1Ocx7Dulgma6cU4bwIxHmN,BLUEM,Carmina XVII,2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,1057
2HRgqmZQC0MC7GeNuDIXHN,Jung Kook,Seven (feat. Latto) (Explicit Ver.),2013,0.0021003500583430573,0.0,0.0021003500583430573,1.0,634
3CJrKExvAP6RCtUR8Cf99P,The Kid LAROI,BLEED,2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,1011
1kuGVB7EU95pJObxwvfwKS,Olivia Rodrigo,vampire,2013,0.004200700116686115,0.0,0.004200700116686115,1.0,344
2rqmtmeBQe6JndyJFXJDZh,Golden Years,Momentum,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1023
74X2u8JMVooG2QbjRxXwR8,LE SSERAFIM,Perfect Night,2013,0.0007001166861143524,0.0,0.0007001166861143524,1.0,665
1whAXVGN8AdfrnoXNIXfJf,Tyla,Truth or Dare,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1565
1jLVSavLHTeEixX6CIxqQR,PinkPantheress,Nice to meet you (feat. Central Cee),2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1024
1G3jHsWf0F40SxCRQV6oxR,Pino D'Angiò,Ma quale idea - Myd Remix (Radio Edit),2013,0.0,0.0,0.0,0.0,1025
3HYUKa1HkaSRk4C0xK4O5q,Dove Cameron,Sand,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,999
75c2zaSdDBSX0A8Jyvm4fO,Isabel LaRosa,older,2013,0.0,0.0,0.0,0.0,1027
2YOGCTiPJWMhZRdeadFj8G,JVKE,this is what autumn feels like,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1248
3kqdGM54nqwtwbIiccYwlX,Seife,UNITED,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1029
