loc,Spotify_ID,Title,Year,Artist,polarity,subjectivity,sentiment
4895,07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,2022,THE ANXIETY,-0.1358974358974359,0.2705128205128205,"Sentiment(polarity=-0.1358974358974359, subjectivity=0.2705128205128205)"
8741,3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,2016,Hotel Ugly,-0.13596491228070176,0.5596491228070176,"Sentiment(polarity=-0.13596491228070176, subjectivity=0.5596491228070176)"
8752,2DOzJWZCslTQFQPQf6hhhj,Ice On My Baby,2017,Yung Bleu,-0.1360085227272727,0.5737215909090909,"Sentiment(polarity=-0.1360085227272727, subjectivity=0.5737215909090909)"
3021,3LGsgpx4TfxhXbr07OFKqs,Oblivion,2013,Grimes,-0.14153439153439148,0.4722222222222224,"Sentiment(polarity=-0.14153439153439148, subjectivity=0.4722222222222224)"
6812,6CStWjzxr0BIv3fqbCOXtv,Hero,2014,Family of the Year,-0.14242424242424245,0.1595117845117845,"Sentiment(polarity=-0.14242424242424245, subjectivity=0.1595117845117845)"
11082,2VDadIDCFgDqvVCvaDPtn9,Becky,2019,Championxiii,-0.14332736229287954,0.7531945066427826,"Sentiment(polarity=-0.14332736229287954, subjectivity=0.7531945066427826)"
11570,2nbFOD6oFaOq2smma32Kgi,Selfish,2022,Ajey,-0.14565826330532214,0.33473389355742306,"Sentiment(polarity=-0.14565826330532214, subjectivity=0.33473389355742306)"
5281,14sAMwqbuFDSlLKmVBD9MI,Girls Chase Boys,2012,Ingrid Michaelson,-0.15129310344827582,0.2910919540229886,"Sentiment(polarity=-0.15129310344827582, subjectivity=0.2910919540229886)"
11050,0EKbMWOt2ZwdEcqgRpLHaC,Asshole,2019,hooligan chase,-0.15253837072018891,0.425629673356946,"Sentiment(polarity=-0.15253837072018891, subjectivity=0.425629673356946)"
11035,6qNB2ChCVPepl5ZjVJJTUW,STUPID (feat. Yung Baby Tate),2019,Ashnikko,-0.15505952380952379,0.7785714285714286,"Sentiment(polarity=-0.15505952380952379, subjectivity=0.7785714285714286)"
